218.2397,-375.5456,7
218.2397,-385.5456,7
218.2397,-395.5456,7
218.2397,-405.5456,7
218.1297,-415.6056,7
211.7297,-421.0156,7
201.6697,-420.9756,7
196.2297,-414.5856,7
196.2297,-404.5856,7
196.2297,-394.5856,7
196.2297,-384.5856,7
196.2797,-374.5056,7
202.7297,-369.085,7
212.7897,-369.1356,7
218.2397,-375.5456,7
218.2397,-385.5456,7
218.2397,-395.5456,7
218.2397,-405.5456,7
218.1297,-415.6056,7
211.7297,-421.0156,7
201.6697,-420.9756,7
196.2297,-414.5856,7
196.2297,-404.5856,7
196.2297,-394.5856,7
196.2297,-384.5856,7
196.2797,-374.5056,7
202.7297,-369.085,7
212.7897,-369.1356,7
